iata,icao,name,callsign,country,comments,KEEP_Y_N
HW,UBD,FlyErbil,HAWLER,Iraqi Kurdistan,,
HW,NWL,North-Wright Airways,NORTHWRIGHT,Canada,,

HZ,SHU,Sakhalinskie Aviatrassy (SAT),SATAIR,Russia,,
HZ,SOZ,Sat Airlines,SATCO,Kazakhstan,,

IK,KAR,Ikar,IKAR,Russian Federation,,
IK,LKN,Lankair,Lankair,Sri Lanka,,

J4,BDR,Badr Airlines,BADR AIR,Sudan,,
J4,BFL,Buffalo Airways,BUFFALO,Canada,,

JY,TCI,Air Turks and Caicos,KERRMONT,Turks and Caicos Islands,ICAO code no longer allocated,
JY,IWY,InterCaribbean Airways,ISLANDWAYS,Turks and Caicos Islands,Name changed from Interisland Airways and Air Turks & Caicos,

KR,KME,Cambodia Airways,GIANT IBIS,Cambodia,,
KR,CWK,Comores Airlines,CONTICOM,Comoros,,

KW,KHK,Kharkiv Airlines,SUNRAY,Ukraine,,
KW,KFA,Kelowna Flightcraft Air Charter,FLIGHTCRAFT,Canada,,

LH,DLH,Lufthansa,LUFTHANSA,Germany,,
LH,GEC,Lufthansa Cargo,LUFTHANSA CARGO,Germany,,

M2,MZS,Mahfooz Aviation,MAHFOOZ,Gambia,,
M2,MHV,MHS Aviation GmbH,SNOWCAP,Germany,,

M3,SPJ,Air Service,AIR SKOPJE,Macedonia,,
M3,NFA,North Flying,NORTH FLYING,Denmark,,

M9,SEB,Euroavia Airlines,EURO AVIA,Cyprus,Founded 2024,
M9,MSI,Motor Sich Airlines,MOTOR SICH,Ukraine,,

MB,EXA,Execair Aviation,CANADIAN EXECAIRE,Canada,,
MB,MNB,MNG Airlines,BLACK SEA,Turkey,,

MO,CAV,Calm Air,CALM AIR,Canada,,
MO,AUH,Presidential Flight,SULTAN,United Arab Emirates,Presidential flight,

MW,MYD,Maya Island Air,MYLAND,Belize,,
MW,MUL,Mokulele Airlines,MUKULELE,United States,Callsign and code changed from BUG/SPEEDBUGGY in 2013,

N4,MTC,Mountain Air Company,MOUNTAIN LEONE,Sierra Leone,,
N4,NWS,Nordwind Airlines,NORDLAND,Russia,,

N5,KGZ,Kyrgyz Airlines,BERMET,Kyrgyzstan,,
N5,NRL,Nolinor Aviation,NOLINOR,Canada,,

N8,HGK,Fika Salaama Airlines,SALAAMA,Uganda,,
N8,NCR,National Air Cargo dba National Airlines,NATIONAL CARGO,United States,,

OY,ANS,Andes Líneas Aéreas,AEROANDES,Argentina,,
OY,OAE,Omni Air International,OMNI-EXPRESS,United States,,

P3,PTB,Passaredo Transportes Aéreos,PASSAREDO,Brazil,,
P3,PTR,Porter Airlines,PORTER,Canada,,

P6,PSC,Pascan Aviation,PASCAN,Canada,,
P6,PVG,Privilege Style,PRIVILEGE,Spain,,

PB,PVL,PAL Airlines,PAL Airlines,Canada,,
PB,SPR,Provincial Airlines,SPEEDAIR,Canada,,

PR,BOI,2GO,ABAIR,Philippines,,
PR,PAL,Philippine Airlines,PHILIPPINE,Philippines,,

QF,QFA,Qantas,QANTAS,Australia,,
QF,QLK,QantasLink,QLINK,Australia,,
QF,SSQ,Sunstate Airlines,SUNSTATE,Australia,Uses IATA of parent QANTAS.,

QH,LYN,Air Kyrgyzstan,ALTYN AVIA,Kyrgyzstan,Name changed from Kyrgyzstan,
QH,FLZ,Aero Leasing,AIR FLORIDA,United States,dba Air Florida,
QH,BAV,Bamboo Airways,BAMBOO,Vietnam,,

QL,RLN,Aero Lanka,AERO LANKA,Sri Lanka,,
QL,LER,Línea Aérea de Servicio Ejecutivo Regional,LASER,Venezuela,,

RR,RFR,Royal Air Force,RAFAIR,United Kingdom,,
RR,RYS,Buzz (Polish airline),MAGIC SUN,Poland,,

RS,ASV,Air Seoul,AIR SEOUL,South Korea,,
RS,MJN,Royal Air Force of Oman,MAJAN,Oman,,

S5,SDG,Star Air (India),HISTAR,India,,
S5,TSJ,Trast Aero,TRAST AERO,Kyrgyzstan,,

S8,CSU,Chari Aviation Services,CHARI SERVICE,Chad,,
S8,SWW,Shovkoviy Shlyah,WAY AERO,Ukraine,,

SA,SAA,South African Airways,SPRINGBOK,South Africa,,
SA,SAX,Sabah Air,SABAH AIR,Malaysia,,

SQ,SIA,Singapore Airlines,SINGAPORE,Singapore,,
SQ,SQC,Singapore Airlines Cargo,SINGCARGO,Singapore,,

TL,ANO,Airnorth,TOPEND,Australia,,
TL,TMA,Trans Mediterranean Airlines,TANGO LIMA,Lebanon,,

V4,REK,Reem Air,REEM AIR,Kyrgyzstan,,
V4,VES,Vieques Air Link,VIEQUES,United States,,

V8,VAS,ATRAN Cargo Airlines,ATRAN,Russian Federation,,
V8,IAR,Iliamna Air Taxi,ILIAMNA AIR,United States,,

VD,KPA,Kunpeng Airlines,KUNPENG,China,,
VD,BBB,SwedJet Airways,BLACKBIRD,Sweden,,

W3,FYH,Flyhy Cargo Airlines,FLY HIGH,Thailand,,
W3,SCL,Switfair Cargo,SWIFTAIR,Canada,,

W4,BES,Aero Services Executive,BIRD EXPRESS,France,,
W4,WMT,Wizz Air Malta,WIZZ AIR MALTA,Malta,,

YL,LWA,Libyan Wings,LIBYAN WINGS,Libya,,
YL,LLM,Yamal Airlines,YAMAL,Russia,,

ZE,AZE,Arcus-Air Logistic,ARCUS AIR,Germany,,
ZE,ESR,Eastar Jet,EASTAR,South Korea,,

ZP,AZP,Amaszonas Paraguay,GUARANI,Paraguay,,
ZP,AZQ,Silk Way Airlines,SILK LINE,Azerbaijan,,

